title,cluster_number
bahia cocoa review,0
standard oil  to form financial unit,3
texas commerce bancshares  files plan,0
talking point/bankamerica  equity offer,0
national average prices for farmer-owned reserve,0
argentine 1986/87 grain/oilseed registrations,0
red lion inns files plans offering,0
usx  debt dowgraded by moody's,0
champion products  approves stock split,0
computer terminal systems  completes sale,0
cobanco inc  year net,0
ohio mattress  may have lower 1st qtr net,1
am international inc  2nd qtr jan 31,1
brown-forman inc  4th qtr net,1
national intergroup to offer permian units,0
economic spotlight - bankamerica,0
national health enhancement  new program,0
dean foods  sees strong 4th qtr earnings,1
bonus wheat flour for north yemen  -- usda,0
credit card disclosure bills introduced,0
hughes capital unit signs pact with bear stearns,3
magma lowers copper 0.75 cent to 66 cts,0
"brown-forman  sets stock split, ups payout",0
esquire radio and electronics inc  4th qtr,1
shearson lehman names new managing director,0
bankers report breakthrough on venezuelan debt,0
united presidential corp  4th qtr net,1
tower report diminishes reagan's hopes of rebound,0
"january housing sales drop, realty group says",0
assets of money market mutual funds rose 720.4 mln dlrs in latest week,2
"u.s. tax writers seek estate tax curbs, raising 6.7 billion dlrs thru 1991",0
senators introduce export licensing reform bill,0
excelan inc sets initial stock offer,0
ccx network  secondary offering underway,0
first union  files 100 mln dlr notes issue,2
owens and minor inc  raises qtly dividend,0
computer language research in  4th qtr,1
4th qtr net,1
du pont co  launches improved aramid fibers,0
standard trustco sees better year,0
handy and harman  4th qtr loss,1
ico producers to present new coffee proposal,0
shultz says no resignation over iran report,0
mclean's  u.s. lines sets asset transfer,0
chemlawn  rises on hopes for higher bids,0
u.s. sugar imports down in week - usda,0
brazil anti-inflation plan limps to anniversary,0
n.z. official foreign reserves fall in january,0
agency reports 39 ships waiting at panama canal,0
america first mortgage sets special payout,0
republicans eye bigger u.s. conservation reserve,0
arvin inds  promotes evans to president,0
emhart corp  qtly dividend,0
u.s. data point to capital spending slowdown,0
senators introduce export licensing reform bill,0
am international  cites strong prospects,0
ccc credits for honduras switched to white corn,0
assets of u.s. money funds rose in week,0
gulf barge freight rates up further on call,0
argentina could suspend debt payments - deputy,0
key u.s. tax writers seek estate tax curbs,0
treasury balances at fed rose on feb 25,0
canada's wilson seeks temporary borrowing,0
"gulf applied  sells units, sees gain",0
farmers group inc  4th qtr net,1
potomac electric power co  jan net,0
springboard  in deal,0
buys gulfex for undisclosed amount,0
"u.s. weekly soybean crush 21,782,929 bushels",0
schult homes offering priced at five dlrs/unit,3
tultex corp  sets quarterly dividend,0
burlington   gets 30.5 mln dlr contract,2
rockwell  gets 28.3 mln dlr b-1 contract,2
atico financial corp  4th qtr net,1
ico exporters to modify new proposal,0
"u.s. commercial paper falls 375 mln dlrs in feb 18 week, fed says",2
"n.y. business loans fall 195 mln dlrs in feb 18 week, fed says",2
new york bank discount window borrowings 64 mln dlrs in feb 25 week,2
quebecor  head sees new ventures likely,0
new york business loans fall 195 mln dlrs,2
n.y. bank discount borrowings 64 mln dlrs,2
philippine long distance  year net,0
liberty all-star equity fund initial div,0
columbia gas system inc  redeems debentures,0
combustion engineering inc  regular div,0
tonka corp  raises dividend,0
bdm international  increases qtrly divs,0
sorg  stockholders form group,0
systematics inc  regular payout,0
texas instruments  develops new chip,0
consolidated gas unit says no rules broken,3
"u.s. m-1 money supply rises 2.1 billion dlrs in feb 16 week, fed says",0
year net,0
"u.s. bank discount borrowings average 310 mln dlrs in feb 25 week, fed says",2
"u.s. bank net free reserves 644 mln dlrs in two weeks to feb 25, fed says",2
investment firms cut cyclops  stake,0
ascs terminal market values for pik grain,0
coradian corp  4th qtr net,1
n.z. trading bank deposit growth rises slightly,0
world market price for upland cotton - usda,0
sugar quota imports detailed -- usda,0
grain ships loading at portland,0
iran announces end of major offensive in gulf war,0
meridian bancorp inc  sets regular payout,0
u.s. bank discount borrowings 310 mln dlrs,2
american express  seen in possible spinnoff,0
u.s. m-1 money supply rose 2.1 billion dlrs,0
general binding  in marketing agreement,0
liberty all-star  sets initial payout,0
coca cola  unit and world film in venture,3
ford motor credit  to redeem debentures,0
sterling software  note holders ok buy,0
makes initial stock offer,0
fluor  unit gets construction contract,3
suffield financial corp  sells stock,0
sets offering,0
chinese pork output seen lower -- usda,0
landmark bancshares  to be listed on nyse,0
ivaco sees minimal first quarter earnings,0
u.s. grain carloadings fall in week,0
hong kong firm ups wrather stake to 11 pct,0
coleco industries inc  4th qtr,1
diamond shamrock (dia) cuts crude prices,0
liebert corp  approves merger,0
northern telecom proposes two-for-one stock split,0
coleco industries  sees profit in 1987,0
olin corp  to elect new ceo in april,0
gulf applied technologies  sells units,0
investment group raises robeson  stake,0
gao likely to show certs more costly than cash,0
venezuela seeks 'flexibility' from banks-azpurua,0
dahlberg inc  4th qtr net,1
city national corp  raises dividend,0
year loss,0
thomson mckinnon unit's cmo offering priced,3
idb communications group inc  year net,0
armor all products corp  quarterly div,0
opec may have to meet to firm prices - analysts,0
cenergy  reports 4th qtr net profit,1
northern telecom ltd  declares stock split,0
torchmark  authorizes stock repurchase,0
painewebber group  to redeem debentures,0
r.p. scherer  sets preferred stock offer,0
parlux fragrances completes initial offering,0
techamerica group inc  4th qtr loss,1
wilfred american educational  regular div,0
drexel official has stake in epsilon data,0
proposed offerings recently filed with the sec,0
"varian , siemens form joint venture",0
